Data|Autore|Hash|Messaggio|Aggiunte|Tolte
2026-05-12|Aldo|3186a7e|Aggiunta porta e service di get_active_session|105|13
2026-05-12|Aldo|437d19e|Feat: aggiunti test a dahsboard controller|236|40
2026-05-12|Aldo|7722db0|Fix: sistemato flask controller|33|16
2026-05-12|Ana|1b8efee|implementazione dashboard e sessione|410|139
2026-05-12|Ana|347d746|fino ad asset (non va)|63|56
2026-05-12|Filippo|fa22dca9|feat: Stesura DdB 13-05-26. (issue #199)|20|0
2026-05-12|Lorenzon|3faf8b3|configurato create app|230|13
2026-05-12|Lorenzon|8f829a6|Implement __deepcopy__ method in AssetEvidence|6|1
2026-05-12|Lorenzon|b3cb563|fix modifica asset|79|26
2026-05-12|Lorenzon|f3d166a|merrge|103|1
2026-05-13|Aldo|13608e04|Chore: sistemata cartella png dei diagrammi|5|70
2026-05-13|Aldo|592aadfa|Chore: refactoring struttura della directory delle classi|1418|1494
2026-05-13|Aldo|6643d1a8|Feat: revisione diagrammi asset|102|140
2026-05-13|Aldo|892d2e4a|revisionati asset e device evaluation detail|312|199
2026-05-13|Aldo|eddbede|Fix: risolti problemi segnalati da ruff|9|1
2026-05-13|Aldo|f11cfa8|Fix: corretto nome assetdetail in assetevaluationdetail|26|25
2026-05-13|Ana|78921af|vari styles|8|20
2026-05-13|Felix|099d11e5|avanzamenti st|6|80
2026-05-13|Filippo|21269bb1|feat: stesura verbale interno 2026-05-11. (issue #194)|200|0
2026-05-13|Lorenzon|2c6a000|refactoring dei framework|89|24
2026-05-13|Lorenzon|9c1081f|aggiunti componets generici e tentavivo di refactorig delete device|9|7
2026-05-13|Lorenzon|e252986|realizzato dt|108|4
2026-05-14|Aldo|202d7847|Fix: riviste classi di session|354|404
2026-05-14|Aldo|51109a46|Feat: ultimate le correzioni di device e asset (incorporata dashboard)|101|40
2026-05-14|Aldo|692b371|fix backend|27|37
2026-05-14|Ana|2cb35a2|fix pdf|29|16
2026-05-14|Ana|c912a10|fix pdf|5|11
2026-05-14|Felix|62543426|aggiornamento specifica tecnica|255|500
2026-05-14|Filippo|00c89db4|feat: stesura verbale esterno 12-05-2026. (issue #195)|178|0
2026-05-14|Lorenzon|108f081|fix test|24|20
2026-05-14|Lorenzon|935d312|fix ruff|5|6
2026-05-14|Lorenzon|b72c6af|fix pulizia path|9|9
2026-05-14|Lorenzon|ba3f140|aggiunto pulsante torna alla lista requisiti|7|1
2026-05-14|Testolin|01615cc5|feat: istruzioni di installazione per Manuale Utente|45|1
2026-05-15|Aldo|0f30e06|Fix: modificato nome justificationservice per coerenza|9|9
2026-05-15|Aldo|8a399d38|Fix: rivisti import ed export device|593|950
2026-05-15|Aldo|a2f170d|Corretto typo in session_coordinator|7|7
2026-05-15|Aldo|e6b17e5|Fix: importer device service|22|9
2026-05-15|Aldo|ecc3d92|rinominati controller evaluation e justification per coerenza|11|11
2026-05-15|Filippo|dfb442a|feat: scritti test di integrazione. (issue #135)|730|4
2026-05-15|Lorenzon|52a03d6f|aggiunti test di unità backend|99|3
2026-05-15|Lorenzon|9fa0bbf|aggiunte descrizioni per i test di unità del backend|1864|33
2026-05-16|Aldo|055ec852|Terminati diagrammi di dominio e aggiunti diagrammi evaluation dto|196|1
2026-05-16|Aldo|55b24103|Terminata revisione dei diagrammi e creazione diagrammi per report|151|171
2026-05-16|Aldo|780df74a|aggiornamento tabella modifiche|6|8
2026-05-16|Aldo|c71d44c6|fix tab modifiche|1|0
2026-05-16|Aldo|d499605c|Aggiunto dominio in ST|934|673
2026-05-16|Ana|3dd46875|Doc: aggiornato glossario|384|14
2026-05-16|Lorenzon|3bbd2b9|refactoring parziale|68|43
2026-05-16|Testolin|1677b547|feat: istruzioni d'uso Manuale Utente|90|1
2026-05-17|Aldo|eea4eb37|Strutturazione cartella processo di sviluppo|207|168
2026-05-17|Aldo|fb204b92|Strutturazione cartella processo di sviluppo|9|21
2026-05-17|Filippo|0ab436ca|feat: stesura parte valutazione del requisito nel manuale utenti. (issue #196)|21|0
2026-05-17|Filippo|6e68ca90|feat: completamento nel manuale utenti. (issue #196)|2|2
2026-05-17|Lorenzon|0950635b|feat :pdp sprint 13|4|1
2026-05-17|Lorenzon|4c7fb0d2|feat :pdp sprint 13|60|1
2026-05-18|Aldo|0ca1cba|usato ruff format|3048|1898
2026-05-18|Aldo|48addbd9|Feat: aggiute sezioni di codifica e progettazione. #204|178|3
2026-05-18|Aldo|d7245fd|risolto errore dipendenze che faceva run failed|1094|0
2026-05-18|Aldo|ec45eca2|Feat: rivista sezione pattern|82|39
2026-05-18|Ana|6a16cfc6|doc: approvazione mu|211|76
2026-05-18|Ana|9671749a|fix minore su mu|5|6
